verb,past_form,character,type,sentence_past,sentence_future,pic1,pic2,pic3
eat,ate,Wizard,Irregular,The Wizard ate an apple,The Wizard will eat an apple,Wizard_eat_v1.png,Wizard_eat_v2.png,Wizard_eat_v3.png
eat,ate,Pirate,Irregular,The Pirate ate an apple,The Pirate will eat an apple,Pirate_eat_v1.png,Pirate_eat_v2.png,Pirate_eat_v3.png
eat,ate,Chef,Irregular,The Chef ate an apple,The Chef will eat an apple,Chef_eat_v1.png,Chef_eat_v2.png,Chef_eat_v3.png
drink,drank,Wizard,Irregular,The Wizard drank coffee,The Wizard will drink coffee,Wizard_drink_v1.png,Wizard_drink_v2.png,Wizard_drink_v3.png
drink,drank,Pirate,Irregular,The Pirate drank coffee,The Pirate will drink coffee,Pirate_drink_v1.png,Pirate_drink_v2.png,Pirate_drink_v3.png
drink,drank,Chef,Irregular,The Chef drank coffee,The Chef will drink coffee,Chef_drink_v1.png,Chef_drink_v2.png,Chef_drink_v3.png
ride,rode,Wizard,Irregular,The Wizard rode a bicycle,The Wizard will ride a bicycle,Wizard_ride_v1.png,Wizard_ride_v2.png,Wizard_ride_v3.png
ride,rode,Pirate,Irregular,The Pirate rode a bicycle,The Pirate will ride a bicycle,Pirate_ride_v1.png,Pirate_ride_v2.png,Pirate_ride_v3.png
ride,rode,Chef,Irregular,The Chef rode a bicycle,The Chef will ride a bicycle,Chef_ride_v1.png,Chef_ride_v2.png,Chef_ride_v3.png
build,built,Wizard,Irregular,The Wizard built a tower,The Wizard will build a tower,Wizard_build_v1.png,Wizard_build_v2.png,Wizard_build_v3.png
build,built,Pirate,Irregular,The Pirate built a tower,The Pirate will build a tower,Pirate_build_v1.png,Pirate_build_v2.png,Pirate_build_v3.png
build,built,Chef,Irregular,The Chef built a tower,The Chef will build a tower,Chef_build_v1.png,Chef_build_v2.png,Chef_build_v3.png
swim,swam,Wizard,Irregular,The Wizard swam in the pool,The Wizard will swim in the pool,Wizard_swim_v1.png,Wizard_swim_v2.png,Wizard_swim_v3.png
swim,swam,Pirate,Irregular,The Pirate swam in the pool,The Pirate will swim in the pool,Pirate_swim_v1.png,Pirate_swim_v2.png,Pirate_swim_v3.png
swim,swam,Chef,Irregular,The Chef swam in the pool,The Chef will swim in the pool,Chef_swim_v1.png,Chef_swim_v2.png,Chef_swim_v3.png
draw,drew,Wizard,Irregular,The Wizard drew a picture,The Wizard will draw a picture,Wizard_draw_v1.png,Wizard_draw_v2.png,Wizard_draw_v3.png
draw,drew,Pirate,Irregular,The Pirate drew a picture,The Pirate will draw a picture,Pirate_draw_v1.png,Pirate_draw_v2.png,Pirate_draw_v3.png
